filename;LoC;NoC;CLoC;DC;Number_of_Functions
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/pointerlock.ts;128;14;36;0.21951219512195122;13
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/polyfill.ts;240;37;63;0.2079207920792079;5
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/program.ts;244;17;79;0.24458204334365324;9
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/properties.ts;204;18;55;0.21235521235521235;5
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/randomsquarekernel.ts;65;7;28;0.3010752688172043;1
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/raymath.ts;277;26;106;0.27676240208877284;11
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/readbackpass.ts;459;42;149;0.2450657894736842;11
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/renderbuffer.ts;203;22;67;0.24814814814814815;5
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/renderer.ts;470;63;225;0.3237410071942446;19
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/resizable.ts;158;22;57;0.2651162790697674;8
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/scene/forwardscenerenderpass.ts;301;27;74;0.19733333333333333;9
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/scene/geometrycomponent.ts;36;1;4;0.1;0
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/scene/index.ts;9;0;0;0;0
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/scene/material.ts;27;0;0;0;0
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/scene/scenenode.ts;132;17;49;0.27071823204419887;5
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/scene/scenenodecomponent.ts;23;3;7;0.23333333333333334;0
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/scene/scenerenderpass.ts;65;9;30;0.3157894736842105;4
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/scene/transformcomponent.ts;25;1;5;0.16666666666666666;0
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/shader.ts;202;17;72;0.26277372262773724;5
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/shadowpass.ts;247;5;5;0.01984126984126984;5
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/text/fontface.ts;364;35;155;0.29865125240847784;15
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/text/fontfaceloader.ts;356;16;71;0.16627634660421545;13
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/text/glyph.ts;173;20;80;0.31620553359683795;4
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/text/glyphvertices.ts;176;21;58;0.24786324786324787;9
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/text/index.ts;19;4;4;0.17391304347826086;0
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/text/label.ts;539;59;178;0.2482566248256625;11
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/text/labelgeometry.ts;281;22;98;0.25857519788918204;5
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/text/labelrenderpass.ts;538;46;113;0.17357910906298002;7
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/text/position2dlabel.ts;188;23;47;0.2;1
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/text/position3dlabel.ts;159;14;39;0.19696969696969696;1
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/text/projected3dlabel.ts;200;22;51;0.20318725099601595;1
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/text/text.ts;104;12;39;0.2727272727272727;2
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/text/typesetter.ts;631;57;147;0.18894601542416453;20
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/texture2d.ts;454;35;134;0.22789115646258504;16
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/texture2darray.ts;377;32;118;0.2383838383838384;14
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/texture3d.ts;520;33;133;0.20367534456355282;21
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/texturecube.ts;646;38;157;0.19551681195516812;22
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/tilecameragenerator.ts;539;54;193;0.26366120218579236;13
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/toucheventprovider.ts;162;9;27;0.14285714285714285;8
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/trackballmodifier.ts;108;17;32;0.22857142857142856;3
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/tuples.ts;219;25;105;0.32407407407407407;13
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/turntablemodifier.ts;114;12;28;0.19718309859154928;3
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/unifiedbuffer.ts;353;30;148;0.2954091816367265;14
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/version.ts;24;4;12;0.3333333333333333;0
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/vertexarray.ts;138;13;59;0.29949238578680204;9
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/viewer/eventblocker.ts;77;6;26;0.2524271844660194;3
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/viewer/fullscreen.ts;210;20;74;0.2605633802816901;17
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/webgl-operate.slim.ts;98;4;4;0.0392156862745098;0
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/webgl-operate.ts;39;7;7;0.15217391304347827;0
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/wheelzoommodifier.ts;54;5;10;0.15625;2
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/wizard.ts;113;9;27;0.19285714285714287;2
